npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3001
 HTTP  3/13/2026 11:43:08 PM ::1 GET /signin
 HTTP  3/13/2026 11:43:08 PM ::1 Returned 200 in 252 ms
 HTTP  3/13/2026 11:43:09 PM ::1 GET /static/js/main.4028e62c.js
 HTTP  3/13/2026 11:43:09 PM ::1 GET /static/css/main.7f4caba3.css
 HTTP  3/13/2026 11:43:09 PM ::1 Returned 200 in 4 ms
 HTTP  3/13/2026 11:43:09 PM ::1 Returned 200 in 11 ms
 HTTP  3/13/2026 11:43:14 PM ::1 GET /admin
 HTTP  3/13/2026 11:43:14 PM ::1 Returned 200 in 1 ms
 HTTP  3/13/2026 11:43:14 PM ::1 GET /static/css/main.7f4caba3.css
 HTTP  3/13/2026 11:43:14 PM ::1 GET /static/js/main.4028e62c.js
 HTTP  3/13/2026 11:43:14 PM ::1 Returned 304 in 2 ms
 HTTP  3/13/2026 11:43:14 PM ::1 Returned 304 in 2 ms
