 INFO  Accepting connections at http://localhost:3001
 HTTP  3/13/2026 11:40:15 PM ::1 GET /admin
 HTTP  3/13/2026 11:40:15 PM ::1 Returned 200 in 22 ms
 HTTP  3/13/2026 11:40:15 PM ::1 GET /static/js/main.d6593b54.js
 HTTP  3/13/2026 11:40:15 PM ::1 GET /static/css/main.7f4caba3.css
 HTTP  3/13/2026 11:40:15 PM ::1 GET /manifest.json
 HTTP  3/13/2026 11:40:15 PM ::1 Returned 200 in 16 ms
 HTTP  3/13/2026 11:40:15 PM ::1 Returned 200 in 16 ms
 HTTP  3/13/2026 11:40:15 PM ::1 Returned 200 in 25 ms
 HTTP  3/13/2026 11:40:15 PM ::1 GET /favicon.ico
 HTTP  3/13/2026 11:40:15 PM ::1 GET /logo192.png
 HTTP  3/13/2026 11:40:15 PM ::1 Returned 200 in 4 ms
 HTTP  3/13/2026 11:40:15 PM ::1 Returned 200 in 5 ms
 HTTP  3/13/2026 11:43:21 PM ::1 GET /signin
 HTTP  3/13/2026 11:43:21 PM ::1 Returned 200 in 5 ms
 HTTP  3/13/2026 11:43:21 PM ::1 GET /static/js/main.d6593b54.js
 HTTP  3/13/2026 11:43:21 PM ::1 GET /static/css/main.7f4caba3.css
 HTTP  3/13/2026 11:43:21 PM ::1 Returned 200 in 3 ms
 HTTP  3/13/2026 11:43:21 PM ::1 Returned 200 in 4 ms
 HTTP  3/13/2026 11:43:21 PM ::1 GET /manifest.json
 HTTP  3/13/2026 11:43:21 PM ::1 Returned 200 in 1 ms
 HTTP  3/13/2026 11:43:21 PM ::1 GET /favicon.ico
 HTTP  3/13/2026 11:43:21 PM ::1 GET /logo192.png
 HTTP  3/13/2026 11:43:21 PM ::1 Returned 200 in 2 ms
 HTTP  3/13/2026 11:43:21 PM ::1 Returned 200 in 2 ms
 HTTP  3/13/2026 11:43:33 PM ::1 GET /admin
 HTTP  3/13/2026 11:43:33 PM ::1 Returned 200 in 1 ms
 HTTP  3/13/2026 11:43:33 PM ::1 GET /static/css/main.7f4caba3.css
 HTTP  3/13/2026 11:43:33 PM ::1 Returned 304 in 2 ms
 HTTP  3/13/2026 11:43:33 PM ::1 GET /static/js/main.d6593b54.js
 HTTP  3/13/2026 11:43:33 PM ::1 Returned 304 in 1 ms
 HTTP  3/13/2026 11:43:33 PM ::1 GET /manifest.json
 HTTP  3/13/2026 11:43:33 PM ::1 Returned 304 in 2 ms
 HTTP  3/13/2026 11:43:33 PM ::1 GET /logo192.png
 HTTP  3/13/2026 11:43:33 PM ::1 Returned 304 in 1 ms
 HTTP  3/14/2026 12:08:55 AM ::1 GET /signin
 HTTP  3/14/2026 12:08:55 AM ::1 Returned 200 in 46 ms
 HTTP  3/14/2026 12:08:55 AM ::1 GET /static/js/main.d6593b54.js
 HTTP  3/14/2026 12:08:55 AM ::1 GET /static/css/main.7f4caba3.css
 HTTP  3/14/2026 12:08:55 AM ::1 Returned 200 in 9 ms
 HTTP  3/14/2026 12:08:55 AM ::1 GET /manifest.json
 HTTP  3/14/2026 12:08:55 AM ::1 Returned 200 in 12 ms
 HTTP  3/14/2026 12:08:55 AM ::1 Returned 200 in 5 ms
 HTTP  3/14/2026 12:08:55 AM ::1 GET /favicon.ico
 HTTP  3/14/2026 12:08:55 AM ::1 GET /logo192.png
 HTTP  3/14/2026 12:08:55 AM ::1 Returned 200 in 5 ms
 HTTP  3/14/2026 12:08:55 AM ::1 Returned 200 in 6 ms
